ID,Dataset,Month,Year,Desc,Raw_desc
11,Significant Cyber Incidents Since 2006,February,2020,The U.S. Defense Information Systems Agency announced it had suffered a data breach exposing the personal information of an unspecified number of individuals,February 2020. The U.S. Defense Information Systems Agency announced it had suffered a data breach exposing the personal information of an unspecified number of individuals
12,Significant Cyber Incidents Since 2006,February,2020,A hacking group of unknown origin was found to be targeting government and diplomatic targets across Southeast Asia as part of a phishing campaign utilizing custom malware,February 2020. A hacking group of unknown origin was found to be targeting government and diplomatic targets across Southeast Asia as part of a phishing campaign utilizing custom malware
13,Significant Cyber Incidents Since 2006,February,2020,Chinese hackers targeted Malaysian government officials to steal data related to government-backed projects in the region.,February 2020. Chinese hackers targeted Malaysian government officials to steal data related to government-backed projects in the region.
14,Significant Cyber Incidents Since 2006,February,2020,Iran announced that it has defended against a DDoS against its communications infrastructure that caused internet outages across the country,February 2020. Iran announced that it has defended against a DDoS against its communications infrastructure that caused internet outages across the country
15,Significant Cyber Incidents Since 2006,February,2020,"More than 10 countries accused Russia of being behind a series of cyber attacks against Georgia in 2019 that took thousands of websites for private, state, and media institutions offline","February 2020. More than 10 countries accused Russia of being behind a series of cyber attacks against Georgia in 2019 that took thousands of websites for private, state, and media institutions offline"
16,Significant Cyber Incidents Since 2006,January,2020,An Iranian hacking group launched an attack on the U.S. based research company Wesat as part of a suspected effort to gain access to the firm’s clients in the public and private sectors,January 2020. An Iranian hacking group launched an attack on the U.S. based research company Wesat as part of a suspected effort to gain access to the firm’s clients in the public and private sectors
17,Significant Cyber Incidents Since 2006,January,2020,The UN was revealed to have covered up a hack into its IT systems in Europe conducted by an unknown but sophisticated hacking group.,January 2020. The UN was revealed to have covered up a hack into its IT systems in Europe conducted by an unknown but sophisticated hacking group.
18,Significant Cyber Incidents Since 2006,January,2020,"Turkish government hackers targeted at least 30 organizations across Europe and the Middle East, including government ministries, embassies, security services, and companies.","January 2020. Turkish government hackers targeted at least 30 organizations across Europe and the Middle East, including government ministries, embassies, security services, and companies."
19,Significant Cyber Incidents Since 2006,January,2020,"Mitsubishi announces that a suspected Chinese group had targeted the company as part  of  a  massive  cyberattack  that  compromised  personal  data  of  8,000  individuals  as  well  as information relating to partnering businesses and government agencies, including projects relating to defense equipment.","January 2020. Mitsubishi announces that a suspected Chinese group had targeted the company as part  of  a  massive  cyberattack  that  compromised  personal  data  of  8,000  individuals  as  well  as information relating to partnering businesses and government agencies, including projects relating to defense equipment."
20,Significant Cyber Incidents Since 2006,January,2020,"The FBI announced that nation state hackers had breached the networks of two U.S. municipalities in 2019, exfiltrating user information and establishing backdoor access for future compromise","January 2020. The FBI announced that nation state hackers had breached the networks of two U.S. municipalities in 2019, exfiltrating user information and establishing backdoor access for future compromise"
21,Significant Cyber Incidents Since 2006,January,2020,"A Russian hacking group infiltrated a Ukrainian energy company where Hunter Biden  was  previously  a  board  member,  and  which  has  featured  prominently  in  the  U.S. impeachment debate.","January 2020. A Russian hacking group infiltrated a Ukrainian energy company where Hunter Biden  was  previously  a  board  member,  and  which  has  featured  prominently  in  the  U.S. impeachment debate."
22,Significant Cyber Incidents Since 2006,January,2020,More  than  two  dozen  Pakistani  government  officials  had  their  mobile  phones infected with spyware developed by the Israeli NSO Group,January  2020.  More  than  two  dozen  Pakistani  government  officials  had  their  mobile  phones infected with spyware developed by the Israeli NSO Group
23,Significant Cyber Incidents Since 2006,January,2020,A suspected nation state targeted the Austrian foreign ministry as part of a cyber attack lasting several weeks.,January 2020. A suspected nation state targeted the Austrian foreign ministry as part of a cyber attack lasting several weeks.
24,Significant Cyber Incidents Since 2006,December,2019,"Iranian wiper malware was deployed against the network of Bapco, the national oil company of Bahrain.","December 2019. Iranian wiper malware was deployed against the network of Bapco, the national oil company of Bahrain."
25,Significant Cyber Incidents Since 2006,December,2019,"Microsoft won a legal battle to take control of 50 web domains used by a North Korean hacking group to target government employees, think tank experts, university staff, and others involved in nuclear proliferation issues","December 2019.  Microsoft won a legal battle to take control of 50 web domains used by a North Korean hacking group to target government employees, think tank experts, university staff, and others involved in nuclear proliferation issues"
26,Significant Cyber Incidents Since 2006,December,2019,An alleged Chinese state-sponsored hacking group attacked government entities and managed service providers by bypassing the two-factor authentication used by their targets,December 2019.  An alleged Chinese state-sponsored hacking group attacked government entities and managed service providers by bypassing the two-factor authentication used by their targets
27,Significant Cyber Incidents Since 2006,December,2019,Chinese  hackers  used  custom  malware  to  target  a  Cambodian  government organization,December  2019.  Chinese  hackers  used  custom  malware  to  target  a  Cambodian  government organization
28,Significant Cyber Incidents Since 2006,December,2019,"Unknown hackers stole login credentials from government agencies in 22 nations across North America, Europe, and Asia","December 2019. Unknown hackers stole login credentials from government agencies in 22 nations across North America, Europe, and Asia"
29,Significant Cyber Incidents Since 2006,December,2019,Iran announced that it had foiled a major cyber attack by a foreign government targeting the country’s e-government infrastructure,December 2019.  Iran announced that it had foiled a major cyber attack by a foreign government targeting the country’s e-government infrastructure
30,Significant Cyber Incidents Since 2006,December,2019,A  suspected  Vietnamese  state-sponsored  hacking  group  attacked  BMW  and Hyundai networks,December  2019.  A  suspected  Vietnamese  state-sponsored  hacking  group  attacked  BMW  and Hyundai networks
31,Significant Cyber Incidents Since 2006,December,2019,"Russian government hackers targeted Ukrainian diplomats, government officials, military  officers,  law  enforcement,  journalists,  and  nongovernmental  organizations  in  a  spear phishing campaign","December 2019. Russian government hackers targeted Ukrainian diplomats, government officials, military  officers,  law  enforcement,  journalists,  and  nongovernmental  organizations  in  a  spear phishing campaign"
32,Significant Cyber Incidents Since 2006,November,2019,"A Russian-speaking hacking group targeted a wide range of Kazakh individuals and   organizations   including   government   agencies,   military   personnel,   foreign   diplomats, journalists, dissidents, and others through a combination of spear phishing and physical device compromise.","November 2019. A Russian-speaking hacking group targeted a wide range of Kazakh individuals and   organizations   including   government   agencies,   military   personnel,   foreign   diplomats, journalists, dissidents, and others through a combination of spear phishing and physical device compromise."
33,Significant Cyber Incidents Since 2006,November,2019,"Microsoft security researchers found that in the last year, an Iranian hacker group carried out ""password-spraying attacks"" on thousands of organizations, but since October, have focused on the employees of dozens of manufacturers, suppliers, or maintainers of industrial control system equipment and software.","November 2019. Microsoft security researchers found that in the last year, an Iranian hacker group carried out ""password-spraying attacks"" on thousands of organizations, but since October, have focused on the employees of dozens of manufacturers, suppliers, or maintainers of industrial control system equipment and software."
34,Significant Cyber Incidents Since 2006,November,2019,An alleged non-state actor targeted the UK Labour party with a major DDoS attack that temporarily took the party’s computer systems offline.,November 2019.  An alleged non-state actor targeted the UK Labour party with a major DDoS attack that temporarily took the party’s computer systems offline.
35,Significant Cyber Incidents Since 2006,October,2019,An Israeli cybersecurity firm was found to have sold spyware used to target senior government  and  military  officials  in  at  least  20  countries  by  exploiting  a  vulnerability  in WhatsApp.,October 2019. An Israeli cybersecurity firm was found to have sold spyware used to target senior government  and  military  officials  in  at  least  20  countries  by  exploiting  a  vulnerability  in WhatsApp.
36,Significant Cyber Incidents Since 2006,October,2019,"A state-sponsored hacking campaign knocked offline more than 2,000 websites across Georgia, including government and court websites containing case materials and personal data.","October 2019. A state-sponsored hacking campaign knocked offline more than 2,000 websites across Georgia, including government and court websites containing case materials and personal data."
37,Significant Cyber Incidents Since 2006,October,2019,India announced that North Korean malware designed for data extraction had been identified in the networks of a nuclear power plant.,October 2019. India announced that North Korean malware designed for data extraction had been identified in the networks of a nuclear power plant.
38,Significant Cyber Incidents Since 2006,October,2019,Suspected North Korean hackers attempted to steal credentials from individuals working on North Korea-related issues at the UN and other NGOs.,October 2019. Suspected North Korean hackers attempted to steal credentials from individuals working on North Korea-related issues at the UN and other NGOs.
39,Significant Cyber Incidents Since 2006,October,2019,The NSA and GCHQ found that a Russian cyberespionage campaign had used an Iranian hacking group’s tools and infrastructure to spy on Middle Eastern targets.,October 2019. The NSA and GCHQ found that a Russian cyberespionage campaign had used an Iranian hacking group’s tools and infrastructure to spy on Middle Eastern targets.
40,Significant Cyber Incidents Since 2006,October,2019,Russian hackers engaged in a campaign since 2013 targeting embassies and foreign affairs ministries in several European countries.,October 2019. Russian hackers engaged in a campaign since 2013 targeting embassies and foreign affairs ministries in several European countries.
41,Significant Cyber Incidents Since 2006,October,2019,"Iranian hackers targeted more than 170 universities around the world between 2013 and 2017, stealing $3.4 billion worth of intellectual property and selling stolen data to Iranian customers.","October 2019. Iranian hackers targeted more than 170 universities around the world between 2013 and 2017, stealing $3.4 billion worth of intellectual property and selling stolen data to Iranian customers."
42,Significant Cyber Incidents Since 2006,October,2019,Chinese hackers  engaged in a multi-year campaign between 2010 and 2015 to acquire intellectual property from foreign companies to support the development of the Chinese C919 airliner.,October 2019. Chinese hackers  engaged in a multi-year campaign between 2010 and 2015 to acquire intellectual property from foreign companies to support the development of the Chinese C919 airliner.
43,Significant Cyber Incidents Since 2006,October,2019,"A Chinese government-sponsored propaganda app  with more than 100 million users was found to have been programmed to have a backdoor granting access to location data, messages, photos, and browsing history, as well as remotely activate audio recordings.","October 2019.  A Chinese government-sponsored propaganda app  with more than 100 million users was found to have been programmed to have a backdoor granting access to location data, messages, photos, and browsing history, as well as remotely activate audio recordings."
44,Significant Cyber Incidents Since 2006,October,2019,The  Moroccan  government  targeted  two  human  rights  activists  using  spyware purchased from Israel.,October  2019.  The  Moroccan  government  targeted  two  human  rights  activists  using  spyware purchased from Israel.
45,Significant Cyber Incidents Since 2006,October,2019,A  state-sponsored  hacking  group  targeted  diplomats  and  high-profile  Russian speaking users in Eastern Europe.,October  2019.  A  state-sponsored  hacking  group  targeted  diplomats  and  high-profile  Russian speaking users in Eastern Europe.
46,Significant Cyber Incidents Since 2006,October,2019,"Chinese hackers targeted entities in Germany, Mongolia, Myanmar, Pakistan, and Vietnam,  individuals involved in UN Security Council resolutions regarding ISIS, and members of religious groups and cultural exchange nonprofits in Asia.","October 2019.  Chinese hackers targeted entities in Germany, Mongolia, Myanmar, Pakistan, and Vietnam,  individuals involved in UN Security Council resolutions regarding ISIS, and members of religious groups and cultural exchange nonprofits in Asia."
47,Significant Cyber Incidents Since 2006,October,2019,"Iranian hackers conducted a series of attacks against the Trump campaign, as well as current and former U.S. government officials, journalists, and Iranians living abroad.","October 2019.  Iranian hackers conducted a series of attacks against the Trump campaign, as well as current and former U.S. government officials, journalists, and Iranians living abroad."
48,Significant Cyber Incidents Since 2006,October,2019,"State-sponsored Chinese hackers  were revealed to have  conducted  at least six espionage  campaigns  since  2013  against  targets  in  Myanmar,  Taiwan,  Vietnam,  Indonesia, Mongolia, Tibet, and Xinjiang.","October 2019.   State-sponsored Chinese hackers  were revealed to have  conducted  at least six espionage  campaigns  since  2013  against  targets  in  Myanmar,  Taiwan,  Vietnam,  Indonesia, Mongolia, Tibet, and Xinjiang."
49,Significant Cyber Incidents Since 2006,October,2019,"The Egyptian government conducted a series of cyberattacks against journalists, academics, lawyers, human rights activists, and opposition politicians.","October 2019.  The Egyptian government conducted a series of cyberattacks against journalists, academics, lawyers, human rights activists, and opposition politicians."
50,Significant Cyber Incidents Since 2006,October,2019,"Chinese hackers were found to have targeted government agencies, embassies, and other government-related embassies across Southeast Asia in the first half of 2019.","October 2019.   Chinese hackers were found to have targeted government agencies, embassies, and other government-related embassies across Southeast Asia in the first half of 2019."
51,Significant Cyber Incidents Since 2006,September,2019,"The United States carried out cyber operations against Iran in retaliation for Iran’s attacks on Saudi Arabia’s oil facilities. The operation affected physical hardware, and had the goal of disrupting Iran’s ability to spread propaganda.","September 2019. The United States carried out cyber operations against Iran in retaliation for Iran’s attacks on Saudi Arabia’s oil facilities. The operation affected physical hardware, and had the goal of disrupting Iran’s ability to spread propaganda."
52,Significant Cyber Incidents Since 2006,September,2019,Airbus revealed that hackers targeting commercial secrets engaged in a series of supply chain attacks targeting four of the company’s subcontractors.,September 2019.  Airbus revealed that hackers targeting commercial secrets engaged in a series of supply chain attacks targeting four of the company’s subcontractors.
53,Significant Cyber Incidents Since 2006,September,2019,A Chinese state-sponsored hacking group responsible for attacks against three U.S. utility companies in July 2019 was found to have subsequently targeted seventeen others.,September 2019.  A Chinese state-sponsored hacking group responsible for attacks against three U.S. utility companies in July 2019 was found to have subsequently targeted seventeen others.
54,Significant Cyber Incidents Since 2006,September,2019,Hackers with ties to the Russian government conducted a phishing campaign against the embassies and foreign affairs ministries of countries across Eastern Europe and Central Asia.,September 2019.  Hackers with ties to the Russian government conducted a phishing campaign against the embassies and foreign affairs ministries of countries across Eastern Europe and Central Asia.
55,Significant Cyber Incidents Since 2006,September,2019,Alleged  Chinese  hackers  used  mobile  malware  to  target  senior  Tibetan lawmakers and individuals with ties to the Dalai Lama.,September  2019.    Alleged  Chinese  hackers  used  mobile  malware  to  target  senior  Tibetan lawmakers and individuals with ties to the Dalai Lama.
56,Significant Cyber Incidents Since 2006,September,2019,North Korean hackers were revealed to have conducted a phishing campaign over the summer of 2019 targeted U.S. entities researching the North Korean nuclear program and economic sanctions against North Korea.,September 2019.  North Korean hackers were revealed to have conducted a phishing campaign over the summer of 2019 targeted U.S. entities researching the North Korean nuclear program and economic sanctions against North Korea.
57,Significant Cyber Incidents Since 2006,September,2019,"Iranian hackers targeted more than 60 universities in the U.S., Australia, UK, Canada, Hong Kong, and Switzerland in an attempt to steal intellectual property.","September 2019. Iranian hackers targeted more than 60 universities in the U.S., Australia, UK, Canada, Hong Kong, and Switzerland in an attempt to steal intellectual property."
58,Significant Cyber Incidents Since 2006,September,2019,Huawei accused the U.S. government of hacking into its intranet and internal information systems to disrupt its business operations.,September 2019. Huawei accused the U.S. government of hacking into its intranet and internal information systems to disrupt its business operations.
59,Significant Cyber Incidents Since 2006,August,2019,"China used compromised websites  to distribute malware to Uyghur populations using previously undisclosed exploits for Apple, Google, and Windows phones.","August 2019. China used compromised websites  to distribute malware to Uyghur populations using previously undisclosed exploits for Apple, Google, and Windows phones."
60,Significant Cyber Incidents Since 2006,August,2019,Chinese state-sponsored hackers were revealed to have targeted multiple U.S. cancer institutes to take information relating to cutting edge cancer research.,August 2019. Chinese state-sponsored hackers were revealed to have targeted multiple U.S. cancer institutes to take information relating to cutting edge cancer research.
61,Significant Cyber Incidents Since 2006,August,2019,"North  Korean  hackers  conducted  a  phishing  campaign  against  foreign  affairs officials in at least three countries, with a focus on those studying North Korean nuclear efforts and related international sanctions.","August  2019.  North  Korean  hackers  conducted  a  phishing  campaign  against  foreign  affairs officials in at least three countries, with a focus on those studying North Korean nuclear efforts and related international sanctions."
62,Significant Cyber Incidents Since 2006,August,2019,Huawei  technicians  helped  government  officials  in  two  African  countries  track political rivals and access encrypted communications.,August  2019.  Huawei  technicians  helped  government  officials  in  two  African  countries  track political rivals and access encrypted communications.
63,Significant Cyber Incidents Since 2006,August,2019,"The Czech Republic announced that the country’s Foreign Ministry had been the victim of a cyberattack by an unspecified foreign state, later identified as Russia","August 2019. The Czech Republic announced that the country’s Foreign Ministry had been the victim of a cyberattack by an unspecified foreign state, later identified as Russia"
64,Significant Cyber Incidents Since 2006,August,2019,"A suspected Indian cyber espionage group conducted a phishing campaign targeting Chinese government agencies and state-owned enterprises for information related to economic trade, defense issues, and foreign relations.","August 2019. A suspected Indian cyber espionage group conducted a phishing campaign targeting Chinese government agencies and state-owned enterprises for information related to economic trade, defense issues, and foreign relations."
65,Significant Cyber Incidents Since 2006,August,2019,Networks at several Bahraini government agencies and critical infrastructure providers were infiltrated by hackers linked to Iran,August 2019. Networks at several Bahraini government agencies and critical infrastructure providers were infiltrated by hackers linked to Iran
66,Significant Cyber Incidents Since 2006,August,2019,"A previously unidentified Chinese espionage group was found to have worked since 2012 to gather data from foreign firms in industries identified as strategic priorities by the Chinese government,   including   telecommunications,   healthcare,   semiconductor   manufacturing,   and machine learning. The group was also active in the theft of virtual currencies and the monitoring of dissidents in Hong Kong.","August 2019.  A previously unidentified Chinese espionage group was found to have worked since 2012 to gather data from foreign firms in industries identified as strategic priorities by the Chinese government,   including   telecommunications,   healthcare,   semiconductor   manufacturing,   and machine learning. The group was also active in the theft of virtual currencies and the monitoring of dissidents in Hong Kong."
67,Significant Cyber Incidents Since 2006,August,2019,"Russian hackers were observed using vulnerable IoT devices like a printer, VOIP phone, and video decoder to break into high-value corporate networks","August 2019.  Russian hackers were observed using vulnerable IoT devices like a printer, VOIP phone, and video decoder to break into high-value corporate networks"
68,Significant Cyber Incidents Since 2006,August,2019,A seven-year campaign by an unidentified Spanish-language espionage group was revealed  to  have  resulted  in  the  theft  of  sensitive  mapping  files  from  senior  officials  in  the Venezuelan Army,August 2019.  A seven-year campaign by an unidentified Spanish-language espionage group was revealed  to  have  resulted  in  the  theft  of  sensitive  mapping  files  from  senior  officials  in  the Venezuelan Army
69,Significant Cyber Incidents Since 2006,July,2019,State-sponsored  Chinese  hackers  conducted  a  spear-phishing  campaign  against employees of three major U.S. utility companies,July  2019.  State-sponsored  Chinese  hackers  conducted  a  spear-phishing  campaign  against employees of three major U.S. utility companies
70,Significant Cyber Incidents Since 2006,July,2019,"Capital One reveals that a hacker accessed data on 100 million credit card applications, including Social Security and bank account numbers.","July 2019.  Capital One reveals that a hacker accessed data on 100 million credit card applications, including Social Security and bank account numbers."
71,Significant Cyber Incidents Since 2006,July,2019,Encrypted email service provider ProtonMail was hacked by a state-sponsored group looking to gain access to accounts held by reporters and former intelligence officials conducting investigations of Russian intelligence activities.,July 2019.  Encrypted email service provider ProtonMail was hacked by a state-sponsored group looking to gain access to accounts held by reporters and former intelligence officials conducting investigations of Russian intelligence activities.
72,Significant Cyber Incidents Since 2006,July,2019,"Several  major  German  industrial  firms  including  BASF,  Siemens,  and  Henkel announced that they had been the victim of a state-sponsored hacking campaign reported to be linked to the Chinese government","July  2019.    Several  major  German  industrial  firms  including  BASF,  Siemens,  and  Henkel announced that they had been the victim of a state-sponsored hacking campaign reported to be linked to the Chinese government"
73,Significant Cyber Incidents Since 2006,July,2019,"A Chinese hacking group was discovered to have targeted government agencies across East Asia involved in information technology, foreign affairs, and economic development.","July 2019.  A Chinese hacking group was discovered to have targeted government agencies across East Asia involved in information technology, foreign affairs, and economic development."
74,Significant Cyber Incidents Since 2006,July,2019,The U.S. Coast Guard issued a warning after it received a report that a merchant vessel had its networks disrupted by malware while traveling through international waters,July 2019.  The U.S. Coast Guard issued a warning after it received a report that a merchant vessel had its networks disrupted by malware while traveling through international waters
75,Significant Cyber Incidents Since 2006,July,2019,"An Iranian hacking group targeted LinkedIn users associated with financial, energy, and government entities operating in the Middle East","July 2019.  An Iranian hacking group targeted LinkedIn users associated with financial, energy, and government entities operating in the Middle East"
76,Significant Cyber Incidents Since 2006,July,2019,"Microsoft revealed that it had detected almost 800 cyberattacks over the past year targeting think tanks, NGOs, and other political organizations around the world, with the majority of attacks originating in Iran, North Korean, and Russia.","July 2019.   Microsoft revealed that it had detected almost 800 cyberattacks over the past year targeting think tanks, NGOs, and other political organizations around the world, with the majority of attacks originating in Iran, North Korean, and Russia."
77,Significant Cyber Incidents Since 2006,July,2019,Libya arrested two men who were accused of working with a Russian troll farm to influence the elections in several African countries.,July 2019.   Libya arrested two men who were accused of working with a Russian troll farm to influence the elections in several African countries.
78,Significant Cyber Incidents Since 2006,July,2019,Croatian government agencies were targeted in a series of attacks by unidentified state sponsored hackers,July 2019.  Croatian government agencies were targeted in a series of attacks by unidentified state sponsored hackers
79,Significant Cyber Incidents Since 2006,July,2019,U.S. Cybercommand issued an alert warning that government networks were being targeted with malware associated with a known Iran-linked hacking group,July 2019.   U.S. Cybercommand issued an alert warning that government networks were being targeted with malware associated with a known Iran-linked hacking group
80,Significant Cyber Incidents Since 2006,June,2019,Western intelligence services were alleged to have hacked into Russian internet search company Yandex in late 2018 to spy on user accounts,June 2019.  Western intelligence services were alleged to have hacked into Russian internet search company Yandex in late 2018 to spy on user accounts
81,Significant Cyber Incidents Since 2006,June,2019,"Over  the  course  of  seven  years,  a  Chinese  espionage  group  hacked  into  ten international cellphone providers operating across thirty countries to track dissidents, officials, and suspected spies.","June  2019.    Over  the  course  of  seven  years,  a  Chinese  espionage  group  hacked  into  ten international cellphone providers operating across thirty countries to track dissidents, officials, and suspected spies."
82,Significant Cyber Incidents Since 2006,June,2019,The  U.S.  announced  it  had  launched  offensive  cyber  operations  against  Iranian computer systems used to control missile and rocket launches.,June  2019.   The  U.S.  announced  it  had  launched  offensive  cyber  operations  against  Iranian computer systems used to control missile and rocket launches.
83,Significant Cyber Incidents Since 2006,June,2019,Iran announced that it had exposed and helped dismantle an alleged CIA-backed cyber espionage network across multiple countries,June 2019.  Iran announced that it had exposed and helped dismantle an alleged CIA-backed cyber espionage network across multiple countries
84,Significant Cyber Incidents Since 2006,June,2019,U.S. officials reveal ongoing efforts to deploy hacking tools against Russian grid systems as a deterrent and warning to Russia,June 2019.   U.S. officials reveal ongoing efforts to deploy hacking tools against Russian grid systems as a deterrent and warning to Russia
85,Significant Cyber Incidents Since 2006,June,2019,U.S. grid regulator NERC issued a warning that a major hacking group with suspected Russian ties was conducting reconnaissance into the networks of electrical utilities.,June 2019.  U.S. grid regulator NERC issued a warning that a major hacking group with suspected Russian ties was conducting reconnaissance into the networks of electrical utilities.
86,Significant Cyber Incidents Since 2006,June,2019,China conducted a denial of service attack on encrypted messaging service Telegram in order to disrupt communications among Hong Kong protestors,June 2019.  China conducted a denial of service attack on encrypted messaging service Telegram in order to disrupt communications among Hong Kong protestors
87,Significant Cyber Incidents Since 2006,June,2019,"A suspected Iranian group was found to have hacked into telecommunications services in Iraq, Pakistan, and Tajikistan","June 2019.  A suspected Iranian group was found to have hacked into telecommunications services in Iraq, Pakistan, and Tajikistan"
88,Significant Cyber Incidents Since 2006,June,2019,Chinese intelligence services hacked into the Australian University to collect data they could use to groom students as informants before they were hired into the civil service.,June 2019.   Chinese intelligence services hacked into the Australian University to collect data they could use to groom students as informants before they were hired into the civil service.
89,Significant Cyber Incidents Since 2006,May,2019,Government organizations in two different Middle Eastern countries were targeted by Chinese state-sponsored hackers.,May 2019.  Government organizations in two different Middle Eastern countries were targeted by Chinese state-sponsored hackers.
90,Significant Cyber Incidents Since 2006,May,2019,A  Chinese  government-sponsored  hacking  group  was  reported  to  be  targeting unidentified entities across the Philippines.,May  2019.    A  Chinese  government-sponsored  hacking  group  was  reported  to  be  targeting unidentified entities across the Philippines.
91,Significant Cyber Incidents Since 2006,May,2019,"Iran developed a network of websites and accounts that were being used to spread false information about the U.S., Israel, and Saudi Arabia.","May 2019.   Iran developed a network of websites and accounts that were being used to spread false information about the U.S., Israel, and Saudi Arabia."
92,Significant Cyber Incidents Since 2006,May,2019,The  Israeli  Defense  Forces  launched  an  airstrike  on  the  Hamas  after  they unsuccessfully attempted to hack Israeli targets.,May  2019.     The  Israeli  Defense  Forces  launched  an  airstrike  on  the  Hamas  after  they unsuccessfully attempted to hack Israeli targets.
93,Significant Cyber Incidents Since 2006,May,2019,"Hackers affiliated with the Chinese intelligence service reportedly had been using NSA hacking tools since 2016, more than a year before those tools were publicly leaked.","May 2019.   Hackers affiliated with the Chinese intelligence service reportedly had been using NSA hacking tools since 2016, more than a year before those tools were publicly leaked."
94,Significant Cyber Incidents Since 2006,April,2019,Amnesty International’s Hong Kong office announced it had been the victim of an attack by Chinese hackers who accessed the personal information of the office’s supporters.,April 2019.  Amnesty International’s Hong Kong office announced it had been the victim of an attack by Chinese hackers who accessed the personal information of the office’s supporters.
95,Significant Cyber Incidents Since 2006,April,2019,"Ukrainian military and government organizations had been targeted was part of a campaign by hackers from the Luhansk People’s Republic, a Russia-backed group that declared independence from Ukraine in 2014.","April 2019.   Ukrainian military and government organizations had been targeted was part of a campaign by hackers from the Luhansk People’s Republic, a Russia-backed group that declared independence from Ukraine in 2014."
96,Significant Cyber Incidents Since 2006,April,2019,Hackers  used  spoofed  email  addresses  to  conduct  a  disinformation  campaign  in Lithuania to discredit the Defense Minister by spreading rumors of corruption.,April  2019.   Hackers  used  spoofed  email  addresses  to  conduct  a  disinformation  campaign  in Lithuania to discredit the Defense Minister by spreading rumors of corruption.
97,Significant Cyber Incidents Since 2006,April,2019,The Finnish police probed a denial of service attack against the web service used to publish the vote tallies from Finland’s elections.,April 2019.  The Finnish police probed a denial of service attack against the web service used to publish the vote tallies from Finland’s elections.
98,Significant Cyber Incidents Since 2006,April,2019,"Iranian  hackers  reportedly  undertook  a  hacking  campaign  against  banks,  local government networks, and other public agencies in the UK.","April  2019.     Iranian  hackers  reportedly  undertook  a  hacking  campaign  against  banks,  local government networks, and other public agencies in the UK."
99,Significant Cyber Incidents Since 2006,April,2019,Pharmaceutical company Bayer announced it had prevented an attack by Chinese hackers targeting sensitive intellectual property.,April 2019.   Pharmaceutical company Bayer announced it had prevented an attack by Chinese hackers targeting sensitive intellectual property.
100,Significant Cyber Incidents Since 2006,March,2019,"The U.S. Department of Energy reported that grid operators in Los Angeles County, California and Salt Lake County, Utah, suffered a DDoS attack that disrupted their operations, but did not cause any outages","March 2019. The U.S. Department of Energy reported that grid operators in Los Angeles County, California and Salt Lake County, Utah, suffered a DDoS attack that disrupted their operations, but did not cause any outages"
