ID,industrycode,industry,code,name
37,11,"Agriculture, Forestry, Fishing and Hunting",11141,Food Crops Grown Under Cover
38,11,"Agriculture, Forestry, Fishing and Hunting",111411,Mushroom Production
39,11,"Agriculture, Forestry, Fishing and Hunting",111419,Other Food Crops Grown Under Cover
40,11,"Agriculture, Forestry, Fishing and Hunting",11142,Nursery and Floriculture Production
41,11,"Agriculture, Forestry, Fishing and Hunting",111421,Nursery and Tree Production
42,11,"Agriculture, Forestry, Fishing and Hunting",111422,Floriculture Production
43,11,"Agriculture, Forestry, Fishing and Hunting",1119,Other Crop Farming
44,11,"Agriculture, Forestry, Fishing and Hunting",11191,Tobacco Farming
45,11,"Agriculture, Forestry, Fishing and Hunting",111910,Tobacco Farming
46,11,"Agriculture, Forestry, Fishing and Hunting",11192,Cotton Farming
47,11,"Agriculture, Forestry, Fishing and Hunting",111920,Cotton Farming
48,11,"Agriculture, Forestry, Fishing and Hunting",11193,Sugarcane Farming
49,11,"Agriculture, Forestry, Fishing and Hunting",111930,Sugarcane Farming
50,11,"Agriculture, Forestry, Fishing and Hunting",11194,Hay Farming
51,11,"Agriculture, Forestry, Fishing and Hunting",111940,Hay Farming
52,11,"Agriculture, Forestry, Fishing and Hunting",11199,All Other Crop Farming
53,11,"Agriculture, Forestry, Fishing and Hunting",111991,Sugar Beet Farming
54,11,"Agriculture, Forestry, Fishing and Hunting",111992,Peanut Farming
55,11,"Agriculture, Forestry, Fishing and Hunting",111998,All Other Miscellaneous Crop Farming
56,11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture
57,11,"Agriculture, Forestry, Fishing and Hunting",1121,Cattle Ranching and Farming
58,11,"Agriculture, Forestry, Fishing and Hunting",11211,"Beef Cattle Ranching and Farming, including Feedlots"
59,11,"Agriculture, Forestry, Fishing and Hunting",112111,Beef Cattle Ranching and Farming
60,11,"Agriculture, Forestry, Fishing and Hunting",112112,Cattle Feedlots
61,11,"Agriculture, Forestry, Fishing and Hunting",11212,Dairy Cattle and Milk Production
62,11,"Agriculture, Forestry, Fishing and Hunting",112120,Dairy Cattle and Milk Production
63,11,"Agriculture, Forestry, Fishing and Hunting",11213,Dual-Purpose Cattle Ranching and Farming
64,11,"Agriculture, Forestry, Fishing and Hunting",112130,Dual-Purpose Cattle Ranching and Farming
65,11,"Agriculture, Forestry, Fishing and Hunting",1122,Hog and Pig Farming
66,11,"Agriculture, Forestry, Fishing and Hunting",11221,Hog and Pig Farming
67,11,"Agriculture, Forestry, Fishing and Hunting",112210,Hog and Pig Farming
68,11,"Agriculture, Forestry, Fishing and Hunting",1123,Poultry and Egg Production
69,11,"Agriculture, Forestry, Fishing and Hunting",11231,Chicken Egg Production
70,11,"Agriculture, Forestry, Fishing and Hunting",112310,Chicken Egg Production
71,11,"Agriculture, Forestry, Fishing and Hunting",11232,Broilers and Other Meat Type Chicken Production
72,11,"Agriculture, Forestry, Fishing and Hunting",112320,Broilers and Other Meat Type Chicken Production
73,11,"Agriculture, Forestry, Fishing and Hunting",11233,Turkey Production
74,11,"Agriculture, Forestry, Fishing and Hunting",112330,Turkey Production
75,11,"Agriculture, Forestry, Fishing and Hunting",11234,Poultry Hatcheries
76,11,"Agriculture, Forestry, Fishing and Hunting",112340,Poultry Hatcheries
77,11,"Agriculture, Forestry, Fishing and Hunting",11239,Other Poultry Production
78,11,"Agriculture, Forestry, Fishing and Hunting",112390,Other Poultry Production
79,11,"Agriculture, Forestry, Fishing and Hunting",1124,Sheep and Goat Farming
80,11,"Agriculture, Forestry, Fishing and Hunting",11241,Sheep Farming
81,11,"Agriculture, Forestry, Fishing and Hunting",112410,Sheep Farming
82,11,"Agriculture, Forestry, Fishing and Hunting",11242,Goat Farming
83,11,"Agriculture, Forestry, Fishing and Hunting",112420,Goat Farming
84,11,"Agriculture, Forestry, Fishing and Hunting",1125,Aquaculture
85,11,"Agriculture, Forestry, Fishing and Hunting",11251,Aquaculture
86,11,"Agriculture, Forestry, Fishing and Hunting",112511,Finfish Farming and Fish Hatcheries
87,11,"Agriculture, Forestry, Fishing and Hunting",112512,Shellfish Farming
88,11,"Agriculture, Forestry, Fishing and Hunting",112519,Other Aquaculture
89,11,"Agriculture, Forestry, Fishing and Hunting",1129,Other Animal Production
90,11,"Agriculture, Forestry, Fishing and Hunting",11291,Apiculture
91,11,"Agriculture, Forestry, Fishing and Hunting",112910,Apiculture
92,11,"Agriculture, Forestry, Fishing and Hunting",11292,Horses and Other Equine Production
93,11,"Agriculture, Forestry, Fishing and Hunting",112920,Horses and Other Equine Production
94,11,"Agriculture, Forestry, Fishing and Hunting",11293,Fur-Bearing Animal and Rabbit Production
95,11,"Agriculture, Forestry, Fishing and Hunting",112930,Fur-Bearing Animal and Rabbit Production
96,11,"Agriculture, Forestry, Fishing and Hunting",11299,All Other Animal Production
97,11,"Agriculture, Forestry, Fishing and Hunting",112990,All Other Animal Production
98,11,"Agriculture, Forestry, Fishing and Hunting",113,Forestry and Logging
99,11,"Agriculture, Forestry, Fishing and Hunting",1131,Timber Tract Operations
100,11,"Agriculture, Forestry, Fishing and Hunting",11311,Timber Tract Operations
101,11,"Agriculture, Forestry, Fishing and Hunting",113110,Timber Tract Operations
102,11,"Agriculture, Forestry, Fishing and Hunting",1132,Forest Nurseries and Gathering of Forest Products
103,11,"Agriculture, Forestry, Fishing and Hunting",11321,Forest Nurseries and Gathering of Forest Products
104,11,"Agriculture, Forestry, Fishing and Hunting",113210,Forest Nurseries and Gathering of Forest Products
105,11,"Agriculture, Forestry, Fishing and Hunting",1133,Logging
106,11,"Agriculture, Forestry, Fishing and Hunting",11331,Logging
107,11,"Agriculture, Forestry, Fishing and Hunting",113310,Logging
108,11,"Agriculture, Forestry, Fishing and Hunting",114,"Fishing, Hunting and Trapping"
109,11,"Agriculture, Forestry, Fishing and Hunting",1141,Fishing
110,11,"Agriculture, Forestry, Fishing and Hunting",11411,Fishing
111,11,"Agriculture, Forestry, Fishing and Hunting",114111,Finfish Fishing
112,11,"Agriculture, Forestry, Fishing and Hunting",114112,Shellfish Fishing
113,11,"Agriculture, Forestry, Fishing and Hunting",114119,Other Marine Fishing
114,11,"Agriculture, Forestry, Fishing and Hunting",1142,Hunting and Trapping
115,11,"Agriculture, Forestry, Fishing and Hunting",11421,Hunting and Trapping
116,11,"Agriculture, Forestry, Fishing and Hunting",114210,Hunting and Trapping
117,11,"Agriculture, Forestry, Fishing and Hunting",115,Support Activities for Agriculture and Forestry
118,11,"Agriculture, Forestry, Fishing and Hunting",1151,Support Activities for Crop Production
119,11,"Agriculture, Forestry, Fishing and Hunting",11511,Support Activities for Crop Production
120,11,"Agriculture, Forestry, Fishing and Hunting",115111,Cotton Ginning
121,11,"Agriculture, Forestry, Fishing and Hunting",115112,"Soil Preparation, Planting, and Cultivating"
122,11,"Agriculture, Forestry, Fishing and Hunting",115113,"Crop Harvesting, Primarily by Machine"
123,11,"Agriculture, Forestry, Fishing and Hunting",115114,Postharvest Crop Activities (except Cotton Ginning)
124,11,"Agriculture, Forestry, Fishing and Hunting",115115,Farm Labor Contractors and Crew Leaders
125,11,"Agriculture, Forestry, Fishing and Hunting",115116,Farm Management Services
126,11,"Agriculture, Forestry, Fishing and Hunting",1152,Support Activities for Animal Production
127,11,"Agriculture, Forestry, Fishing and Hunting",11521,Support Activities for Animal Production
128,11,"Agriculture, Forestry, Fishing and Hunting",115210,Support Activities for Animal Production
129,11,"Agriculture, Forestry, Fishing and Hunting",1153,Support Activities for Forestry
130,11,"Agriculture, Forestry, Fishing and Hunting",11531,Support Activities for Forestry
131,11,"Agriculture, Forestry, Fishing and Hunting",115310,Support Activities for Forestry
132,21,"Mining, Quarrying, and Oil and Gas Extraction",21,"Mining, Quarrying, and Oil and Gas Extraction"
133,21,"Mining, Quarrying, and Oil and Gas Extraction",211,Oil and Gas Extraction
134,21,"Mining, Quarrying, and Oil and Gas Extraction",2111,Oil and Gas Extraction
135,21,"Mining, Quarrying, and Oil and Gas Extraction",21112,Crude Petroleum Extraction
136,21,"Mining, Quarrying, and Oil and Gas Extraction",211120,Crude Petroleum Extraction
137,21,"Mining, Quarrying, and Oil and Gas Extraction",21113,Natural Gas Extraction
138,21,"Mining, Quarrying, and Oil and Gas Extraction",211130,Natural Gas Extraction
139,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas)
140,21,"Mining, Quarrying, and Oil and Gas Extraction",2121,Coal Mining
141,21,"Mining, Quarrying, and Oil and Gas Extraction",21211,Coal Mining
142,21,"Mining, Quarrying, and Oil and Gas Extraction",212111,Bituminous Coal and Lignite Surface Mining
143,21,"Mining, Quarrying, and Oil and Gas Extraction",212112,Bituminous Coal Underground Mining
144,21,"Mining, Quarrying, and Oil and Gas Extraction",212113,Anthracite Mining
145,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining
146,21,"Mining, Quarrying, and Oil and Gas Extraction",21221,Iron Ore Mining
147,21,"Mining, Quarrying, and Oil and Gas Extraction",212210,Iron Ore Mining
148,21,"Mining, Quarrying, and Oil and Gas Extraction",21222,Gold Ore and Silver Ore Mining
149,21,"Mining, Quarrying, and Oil and Gas Extraction",212221,Gold Ore Mining
150,21,"Mining, Quarrying, and Oil and Gas Extraction",212222,Silver Ore Mining
151,21,"Mining, Quarrying, and Oil and Gas Extraction",21223,"Copper, Nickel, Lead, and Zinc Mining"
152,21,"Mining, Quarrying, and Oil and Gas Extraction",212230,"Copper, Nickel, Lead, and Zinc Mining"
153,21,"Mining, Quarrying, and Oil and Gas Extraction",21229,Other Metal Ore Mining
154,21,"Mining, Quarrying, and Oil and Gas Extraction",212291,Uranium-Radium-Vanadium Ore Mining
155,21,"Mining, Quarrying, and Oil and Gas Extraction",212299,All Other Metal Ore Mining
156,21,"Mining, Quarrying, and Oil and Gas Extraction",2123,Nonmetallic Mineral Mining and Quarrying
157,21,"Mining, Quarrying, and Oil and Gas Extraction",21231,Stone Mining and Quarrying
158,21,"Mining, Quarrying, and Oil and Gas Extraction",212311,Dimension Stone Mining and Quarrying
159,21,"Mining, Quarrying, and Oil and Gas Extraction",212312,Crushed and Broken Limestone Mining and Quarrying
160,21,"Mining, Quarrying, and Oil and Gas Extraction",212313,Crushed and Broken Granite Mining and Quarrying
161,21,"Mining, Quarrying, and Oil and Gas Extraction",212319,Other Crushed and Broken Stone Mining and Quarrying
162,21,"Mining, Quarrying, and Oil and Gas Extraction",21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
163,21,"Mining, Quarrying, and Oil and Gas Extraction",212321,Construction Sand and Gravel Mining
164,21,"Mining, Quarrying, and Oil and Gas Extraction",212322,Industrial Sand Mining
165,21,"Mining, Quarrying, and Oil and Gas Extraction",212324,Kaolin and Ball Clay Mining
166,21,"Mining, Quarrying, and Oil and Gas Extraction",212325,Clay and Ceramic and Refractory Minerals Mining
167,21,"Mining, Quarrying, and Oil and Gas Extraction",21239,Other Nonmetallic Mineral Mining and Quarrying
168,21,"Mining, Quarrying, and Oil and Gas Extraction",212391,"Potash, Soda, and Borate Mineral Mining"
169,21,"Mining, Quarrying, and Oil and Gas Extraction",212392,Phosphate Rock Mining
170,21,"Mining, Quarrying, and Oil and Gas Extraction",212393,Other Chemical and Fertilizer Mineral Mining
171,21,"Mining, Quarrying, and Oil and Gas Extraction",212399,All Other Nonmetallic Mineral Mining
172,21,"Mining, Quarrying, and Oil and Gas Extraction",213,Support Activities for Mining
173,21,"Mining, Quarrying, and Oil and Gas Extraction",2131,Support Activities for Mining
174,21,"Mining, Quarrying, and Oil and Gas Extraction",21311,Support Activities for Mining
175,21,"Mining, Quarrying, and Oil and Gas Extraction",213111,Drilling Oil and Gas Wells
176,21,"Mining, Quarrying, and Oil and Gas Extraction",213112,Support Activities for Oil and Gas Operations
177,21,"Mining, Quarrying, and Oil and Gas Extraction",213113,Support Activities for Coal Mining
178,21,"Mining, Quarrying, and Oil and Gas Extraction",213114,Support Activities for Metal Mining
179,21,"Mining, Quarrying, and Oil and Gas Extraction",213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining
180,22,Utilities,22,Utilities
181,22,Utilities,221,Utilities
182,22,Utilities,2211,"Electric Power Generation, Transmission and Distribution"
183,22,Utilities,22111,Electric Power Generation
184,22,Utilities,221111,Hydroelectric Power Generation
185,22,Utilities,221112,Fossil Fuel Electric Power Generation
186,22,Utilities,221113,Nuclear Electric Power Generation
187,22,Utilities,221114,Solar Electric Power Generation
188,22,Utilities,221115,Wind Electric Power Generation
189,22,Utilities,221116,Geothermal Electric Power Generation
190,22,Utilities,221117,Biomass Electric Power Generation
191,22,Utilities,221118,Other Electric Power Generation
192,22,Utilities,22112,"Electric Power Transmission, Control, and Distribution"
193,22,Utilities,221121,Electric Bulk Power Transmission and Control
194,22,Utilities,221122,Electric Power Distribution
195,22,Utilities,2212,Natural Gas Distribution
196,22,Utilities,22121,Natural Gas Distribution
197,22,Utilities,221210,Natural Gas Distribution
198,22,Utilities,2213,"Water, Sewage and Other Systems"
199,22,Utilities,22131,Water Supply and Irrigation Systems
200,22,Utilities,221310,Water Supply and Irrigation Systems
201,22,Utilities,22132,Sewage Treatment Facilities
202,22,Utilities,221320,Sewage Treatment Facilities
203,22,Utilities,22133,Steam and Air-Conditioning Supply
204,22,Utilities,221330,Steam and Air-Conditioning Supply
205,23,Construction,23,Construction
206,23,Construction,236,Construction of Buildings
207,23,Construction,2361,Residential Building Construction
208,23,Construction,23611,Residential Building Construction
209,23,Construction,236115,New Single-Family Housing Construction (except For-Sale Builders)
210,23,Construction,236116,New Multifamily Housing Construction (except For-Sale Builders)
211,23,Construction,236117,New Housing For-Sale Builders
212,23,Construction,236118,Residential Remodelers
213,23,Construction,2362,Nonresidential Building Construction
214,23,Construction,23621,Industrial Building Construction
215,23,Construction,236210,Industrial Building Construction
216,23,Construction,23622,Commercial and Institutional Building Construction
217,23,Construction,236220,Commercial and Institutional Building Construction
218,23,Construction,237,Heavy and Civil Engineering Construction
219,23,Construction,2371,Utility System Construction
220,23,Construction,23711,Water and Sewer Line and Related Structures Construction
221,23,Construction,237110,Water and Sewer Line and Related Structures Construction
222,23,Construction,23712,Oil and Gas Pipeline and Related Structures Construction
223,23,Construction,237120,Oil and Gas Pipeline and Related Structures Construction
224,23,Construction,23713,Power and Communication Line and Related Structures Construction
225,23,Construction,237130,Power and Communication Line and Related Structures Construction
226,23,Construction,2372,Land Subdivision
227,23,Construction,23721,Land Subdivision
228,23,Construction,237210,Land Subdivision
229,23,Construction,2373,"Highway, Street, and Bridge Construction"
230,23,Construction,23731,"Highway, Street, and Bridge Construction"
231,23,Construction,237310,"Highway, Street, and Bridge Construction"
232,23,Construction,2379,Other Heavy and Civil Engineering Construction
233,23,Construction,23799,Other Heavy and Civil Engineering Construction
234,23,Construction,237990,Other Heavy and Civil Engineering Construction
235,23,Construction,238,Specialty Trade Contractors
236,23,Construction,2381,"Foundation, Structure, and Building Exterior Contractors"
237,23,Construction,23811,Poured Concrete Foundation and Structure Contractors
238,23,Construction,238110,Poured Concrete Foundation and Structure Contractors
239,23,Construction,23812,Structural Steel and Precast Concrete Contractors
240,23,Construction,238120,Structural Steel and Precast Concrete Contractors
241,23,Construction,23813,Framing Contractors
242,23,Construction,238130,Framing Contractors
243,23,Construction,23814,Masonry Contractors
244,23,Construction,238140,Masonry Contractors
245,23,Construction,23815,Glass and Glazing Contractors
246,23,Construction,238150,Glass and Glazing Contractors
247,23,Construction,23816,Roofing Contractors
248,23,Construction,238160,Roofing Contractors
249,23,Construction,23817,Siding Contractors
250,23,Construction,238170,Siding Contractors
251,23,Construction,23819,"Other Foundation, Structure, and Building Exterior Contractors"
252,23,Construction,238190,"Other Foundation, Structure, and Building Exterior Contractors"
253,23,Construction,2382,Building Equipment Contractors
254,23,Construction,23821,Electrical Contractors and Other Wiring Installation Contractors
255,23,Construction,238210,Electrical Contractors and Other Wiring Installation Contractors
256,23,Construction,23822,"Plumbing, Heating, and Air-Conditioning Contractors"
257,23,Construction,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
258,23,Construction,23829,Other Building Equipment Contractors
259,23,Construction,238290,Other Building Equipment Contractors
260,23,Construction,2383,Building Finishing Contractors
261,23,Construction,23831,Drywall and Insulation Contractors
262,23,Construction,238310,Drywall and Insulation Contractors
263,23,Construction,23832,Painting and Wall Covering Contractors
264,23,Construction,238320,Painting and Wall Covering Contractors
265,23,Construction,23833,Flooring Contractors
266,23,Construction,238330,Flooring Contractors
267,23,Construction,23834,Tile and Terrazzo Contractors
268,23,Construction,238340,Tile and Terrazzo Contractors
269,23,Construction,23835,Finish Carpentry Contractors
270,23,Construction,238350,Finish Carpentry Contractors
271,23,Construction,23839,Other Building Finishing Contractors
272,23,Construction,238390,Other Building Finishing Contractors
273,23,Construction,2389,Other Specialty Trade Contractors
274,23,Construction,23891,Site Preparation Contractors
275,23,Construction,238910,Site Preparation Contractors
276,23,Construction,23899,All Other Specialty Trade Contractors
277,23,Construction,238990,All Other Specialty Trade Contractors
278,31-33,Manufacturing,31-33,Manufacturing
279,31-33,Manufacturing,311,Food Manufacturing
280,31-33,Manufacturing,3111,Animal Food Manufacturing
281,31-33,Manufacturing,31111,Animal Food Manufacturing
282,31-33,Manufacturing,311111,Dog and Cat Food Manufacturing
283,31-33,Manufacturing,311119,Other Animal Food Manufacturing
284,31-33,Manufacturing,3112,Grain and Oilseed Milling
285,31-33,Manufacturing,31121,Flour Milling and Malt Manufacturing
286,31-33,Manufacturing,311211,Flour Milling
287,31-33,Manufacturing,311212,Rice Milling
288,31-33,Manufacturing,311213,Malt Manufacturing
289,31-33,Manufacturing,31122,Starch and Vegetable Fats and Oils Manufacturing
290,31-33,Manufacturing,311221,Wet Corn Milling
291,31-33,Manufacturing,311224,Soybean and Other Oilseed Processing
292,31-33,Manufacturing,311225,Fats and Oils Refining and Blending
293,31-33,Manufacturing,31123,Breakfast Cereal Manufacturing
294,31-33,Manufacturing,311230,Breakfast Cereal Manufacturing
295,31-33,Manufacturing,3113,Sugar and Confectionery Product Manufacturing
296,31-33,Manufacturing,31131,Sugar Manufacturing
297,31-33,Manufacturing,311313,Beet Sugar Manufacturing
298,31-33,Manufacturing,311314,Cane Sugar Manufacturing
299,31-33,Manufacturing,31134,Nonchocolate Confectionery Manufacturing
300,31-33,Manufacturing,311340,Nonchocolate Confectionery Manufacturing
301,31-33,Manufacturing,31135,Chocolate and Confectionery Manufacturing
302,31-33,Manufacturing,311351,Chocolate and Confectionery Manufacturing from Cacao Beans
303,31-33,Manufacturing,311352,Confectionery Manufacturing from Purchased Chocolate
304,31-33,Manufacturing,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing
305,31-33,Manufacturing,31141,Frozen Food Manufacturing
306,31-33,Manufacturing,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
307,31-33,Manufacturing,311412,Frozen Specialty Food Manufacturing
308,31-33,Manufacturing,31142,"Fruit and Vegetable Canning, Pickling, and Drying"
309,31-33,Manufacturing,311421,Fruit and Vegetable Canning
310,31-33,Manufacturing,311422,Specialty Canning
311,31-33,Manufacturing,311423,Dried and Dehydrated Food Manufacturing
312,31-33,Manufacturing,3115,Dairy Product Manufacturing
313,31-33,Manufacturing,31151,Dairy Product (except Frozen) Manufacturing
314,31-33,Manufacturing,311511,Fluid Milk Manufacturing
315,31-33,Manufacturing,311512,Creamery Butter Manufacturing
316,31-33,Manufacturing,311513,Cheese Manufacturing
317,31-33,Manufacturing,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
318,31-33,Manufacturing,31152,Ice Cream and Frozen Dessert Manufacturing
319,31-33,Manufacturing,311520,Ice Cream and Frozen Dessert Manufacturing
320,31-33,Manufacturing,3116,Animal Slaughtering and Processing
321,31-33,Manufacturing,31161,Animal Slaughtering and Processing
322,31-33,Manufacturing,311611,Animal (except Poultry) Slaughtering
323,31-33,Manufacturing,311612,Meat Processed from Carcasses
324,31-33,Manufacturing,311613,Rendering and Meat Byproduct Processing
325,31-33,Manufacturing,311615,Poultry Processing
326,31-33,Manufacturing,3117,Seafood Product Preparation and Packaging
327,31-33,Manufacturing,31171,Seafood Product Preparation and Packaging
328,31-33,Manufacturing,311710,Seafood Product Preparation and Packaging
329,31-33,Manufacturing,3118,Bakeries and Tortilla Manufacturing
330,31-33,Manufacturing,31181,Bread and Bakery Product Manufacturing
331,31-33,Manufacturing,311811,Retail Bakeries
332,31-33,Manufacturing,311812,Commercial Bakeries
333,31-33,Manufacturing,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
334,31-33,Manufacturing,31182,"Cookie, Cracker, and Pasta Manufacturing"
335,31-33,Manufacturing,311821,Cookie and Cracker Manufacturing
336,31-33,Manufacturing,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
337,31-33,Manufacturing,31183,Tortilla Manufacturing
338,31-33,Manufacturing,311830,Tortilla Manufacturing
339,31-33,Manufacturing,3119,Other Food Manufacturing
340,31-33,Manufacturing,31191,Snack Food Manufacturing
341,31-33,Manufacturing,311911,Roasted Nuts and Peanut Butter Manufacturing
342,31-33,Manufacturing,311919,Other Snack Food Manufacturing
343,31-33,Manufacturing,31192,Coffee and Tea Manufacturing
344,31-33,Manufacturing,311920,Coffee and Tea Manufacturing
345,31-33,Manufacturing,31193,Flavoring Syrup and Concentrate Manufacturing
346,31-33,Manufacturing,311930,Flavoring Syrup and Concentrate Manufacturing
347,31-33,Manufacturing,31194,Seasoning and Dressing Manufacturing
348,31-33,Manufacturing,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
349,31-33,Manufacturing,311942,Spice and Extract Manufacturing
350,31-33,Manufacturing,31199,All Other Food Manufacturing
351,31-33,Manufacturing,311991,Perishable Prepared Food Manufacturing
352,31-33,Manufacturing,311999,All Other Miscellaneous Food Manufacturing
353,31-33,Manufacturing,312,Beverage and Tobacco Product Manufacturing
354,31-33,Manufacturing,3121,Beverage Manufacturing
355,31-33,Manufacturing,31211,Soft Drink and Ice Manufacturing
356,31-33,Manufacturing,312111,Soft Drink Manufacturing
357,31-33,Manufacturing,312112,Bottled Water Manufacturing
358,31-33,Manufacturing,312113,Ice Manufacturing
359,31-33,Manufacturing,31212,Breweries
360,31-33,Manufacturing,312120,Breweries
361,31-33,Manufacturing,31213,Wineries
362,31-33,Manufacturing,312130,Wineries
363,31-33,Manufacturing,31214,Distilleries
364,31-33,Manufacturing,312140,Distilleries
365,31-33,Manufacturing,3122,Tobacco Manufacturing
366,31-33,Manufacturing,31223,Tobacco Manufacturing
367,31-33,Manufacturing,312230,Tobacco Manufacturing
368,31-33,Manufacturing,313,Textile Mills
369,31-33,Manufacturing,3131,"Fiber, Yarn, and Thread Mills"
370,31-33,Manufacturing,31311,"Fiber, Yarn, and Thread Mills"
371,31-33,Manufacturing,313110,"Fiber, Yarn, and Thread Mills"
372,31-33,Manufacturing,3132,Fabric Mills
373,31-33,Manufacturing,31321,Broadwoven Fabric Mills
374,31-33,Manufacturing,313210,Broadwoven Fabric Mills
375,31-33,Manufacturing,31322,Narrow Fabric Mills and Schiffli Machine Embroidery
376,31-33,Manufacturing,313220,Narrow Fabric Mills and Schiffli Machine Embroidery
377,31-33,Manufacturing,31323,Nonwoven Fabric Mills
378,31-33,Manufacturing,313230,Nonwoven Fabric Mills
379,31-33,Manufacturing,31324,Knit Fabric Mills
380,31-33,Manufacturing,313240,Knit Fabric Mills
381,31-33,Manufacturing,3133,Textile and Fabric Finishing and Fabric Coating Mills
382,31-33,Manufacturing,31331,Textile and Fabric Finishing Mills
383,31-33,Manufacturing,313310,Textile and Fabric Finishing Mills
384,31-33,Manufacturing,31332,Fabric Coating Mills
385,31-33,Manufacturing,313320,Fabric Coating Mills
386,31-33,Manufacturing,314,Textile Product Mills
387,31-33,Manufacturing,3141,Textile Furnishings Mills
388,31-33,Manufacturing,31411,Carpet and Rug Mills
389,31-33,Manufacturing,314110,Carpet and Rug Mills
390,31-33,Manufacturing,31412,Curtain and Linen Mills
391,31-33,Manufacturing,314120,Curtain and Linen Mills
392,31-33,Manufacturing,3149,Other Textile Product Mills
393,31-33,Manufacturing,31491,Textile Bag and Canvas Mills
394,31-33,Manufacturing,314910,Textile Bag and Canvas Mills
395,31-33,Manufacturing,31499,All Other Textile Product Mills
396,31-33,Manufacturing,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
397,31-33,Manufacturing,314999,All Other Miscellaneous Textile Product Mills
398,31-33,Manufacturing,315,Apparel Manufacturing
399,31-33,Manufacturing,3151,Apparel Knitting Mills
400,31-33,Manufacturing,31511,Hosiery and Sock Mills
401,31-33,Manufacturing,315110,Hosiery and Sock Mills
